transaction_id,date,ville,type,modele,prix,duree_location_mois
TX00031,2024-02-15,Marseille,location,Tesla Model 3,351.28,13
TX00032,2023-01-09,Marseille,vente,Peugeot 208,21492.75,
TX00033,2023-06-20,Marseille,location,Tesla Model 3,1262.61,6
TX00034,2023-12-18,Marseille,vente,Peugeot 208,31108.01,
TX00035,2024-03-03,Paris,location,Peugeot 208,607.25,23
TX00036,2023-11-29,Lyon,location,Peugeot 208,617.95,40
TX00037,2023-05-11,Paris,vente,BMW X3,29591.52,
TX00038,2023-07-09,Lyon,vente,Tesla Model 3,73614.57,
TX00039,2023-06-02,Paris,location,Tesla Model 3,676.22,36
TX00040,2023-06-01,Paris,vente,Mercedes C Class,20542.93,
TX00041,2023-07-02,Marseille,vente,Renault Clio,38537.91,
TX00042,2023-09-21,Marseille,vente,Renault Clio,66212.85,
TX00043,2023-07-20,Lyon,location,BMW X3,1150.29,30
TX00044,2023-03-10,Paris,location,BMW X3,1036.53,25
TX00045,2023-02-07,Marseille,location,Mercedes C Class,301.71,14
TX00046,2023-01-16,Lyon,location,Audi A4,1094.52,47
TX00047,2023-01-30,Paris,location,Peugeot 208,250.58,46
TX00048,2023-04-19,Paris,vente,Renault Clio,79992.91,
TX00049,2023-11-27,Marseille,location,Tesla Model 3,744.43,40
TX00050,2023-07-24,Paris,vente,Renault Clio,44547.88,
TX00051,2023-07-15,Paris,location,Tesla Model 3,1415.33,48
TX00052,2023-12-17,Marseille,location,Mercedes C Class,1477.78,46
TX00053,2023-04-08,Lyon,location,Mercedes C Class,1131.21,17
TX00054,2023-04-21,Marseille,vente,BMW X3,63697.95,
TX00055,2023-07-28,Paris,vente,Tesla Model 3,49913.04,
TX00056,2023-04-12,Marseille,location,BMW X3,1196.5,36
TX00057,2023-04-11,Paris,vente,Renault Clio,16646.51,
TX00058,2023-02-01,Paris,location,BMW X3,1351.74,2
TX00059,2023-07-13,Lyon,location,Peugeot 208,731.36,6
TX00060,2023-11-15,Paris,vente,BMW X3,31473.48,
TX00061,2023-07-10,Lyon,vente,Peugeot 208,41828.81,
TX00062,2023-07-29,Marseille,location,Tesla Model 3,548.65,47
TX00063,2023-07-31,Paris,vente,Peugeot 208,86022.14,
TX00064,2023-10-09,Paris,vente,Tesla Model 3,38793.74,
TX00065,2023-10-30,Paris,vente,Audi A4,50312.42,
TX00066,2023-09-05,Marseille,vente,BMW X3,26018.45,
TX00067,2024-04-08,Marseille,vente,BMW X3,53529.39,
TX00068,2023-01-04,Lyon,vente,Audi A4,63988.33,
TX00069,2023-11-09,Marseille,location,BMW X3,875.49,14
TX00070,2023-03-12,Paris,vente,BMW X3,80000.55,
TX00071,2023-11-13,Marseille,location,Tesla Model 3,701.07,40
TX00072,2023-05-04,Marseille,location,Renault Clio,751.09,36
TX00073,2023-02-01,Paris,location,Peugeot 208,674.05,35
TX00074,2024-04-21,Marseille,vente,Tesla Model 3,74607.68,
TX00075,2023-02-03,Paris,location,Mercedes C Class,362.01,22
TX00076,2023-01-22,Paris,vente,Audi A4,17303.26,
TX00077,2023-12-22,Paris,location,Audi A4,563.84,23
TX00078,2023-06-06,Paris,location,Renault Clio,1361.91,38
TX00079,2023-01-23,Marseille,location,Mercedes C Class,792.76,31
TX00080,2023-01-25,Lyon,vente,Mercedes C Class,38667.73,
TX00081,2023-03-07,Paris,location,Peugeot 208,1133.31,26
TX00082,2023-11-22,Paris,location,Audi A4,256.77,43
TX00083,2023-12-10,Paris,vente,Tesla Model 3,59866.61,
TX00084,2023-11-02,Lyon,location,Tesla Model 3,1170.48,40
TX00085,2023-03-07,Paris,location,Tesla Model 3,938.66,21
TX00086,2023-04-03,Marseille,location,Peugeot 208,1109.84,31
TX00087,2023-09-11,Paris,location,Audi A4,1223.17,39
TX00088,2024-02-28,Marseille,location,Renault Clio,618.59,23
TX00089,2023-08-18,Marseille,vente,Tesla Model 3,59018.08,
TX00090,2023-05-23,Marseille,location,Mercedes C Class,1034.11,12
TX00091,2023-11-06,Marseille,location,Audi A4,1408.45,35
TX00092,2023-09-09,Paris,location,Renault Clio,702.11,40
TX00093,2024-04-23,Lyon,vente,Audi A4,63327.02,
TX00094,2023-11-30,Marseille,location,Mercedes C Class,1431.73,46
TX00095,2023-01-16,Lyon,vente,Peugeot 208,82189.46,
TX00096,2024-03-14,Paris,location,Mercedes C Class,203.86,34
TX00097,2023-03-27,Marseille,location,Renault Clio,534.17,5
TX00098,2023-03-17,Marseille,location,Peugeot 208,1019.31,26
TX00099,2023-12-18,Lyon,location,BMW X3,879.3,23
TX00100,2023-11-12,Marseille,vente,Mercedes C Class,55269.39,
TX00101,2023-03-08,Paris,location,Mercedes C Class,687.0,41
TX00102,2023-11-24,Lyon,vente,Mercedes C Class,52464.99,
TX00103,2023-12-24,Marseille,vente,Peugeot 208,15965.95,
TX00104,2023-03-08,Paris,vente,Peugeot 208,36180.88,
TX00105,2023-03-22,Marseille,vente,Audi A4,24875.34,
TX00106,2023-03-01,Marseille,vente,Renault Clio,73749.48,
TX00107,2023-01-08,Marseille,vente,Mercedes C Class,84666.59,
TX00108,2023-06-30,Lyon,location,Peugeot 208,798.94,33
TX00109,2023-12-12,Paris,vente,Audi A4,16281.09,
TX00110,2024-03-31,Marseille,location,Audi A4,943.66,9
TX00111,2023-05-08,Lyon,location,Tesla Model 3,606.47,4
TX00112,2023-09-22,Marseille,vente,Peugeot 208,40636.33,
TX00113,2024-03-23,Marseille,vente,Tesla Model 3,47715.23,
TX00114,2023-08-26,Lyon,vente,Tesla Model 3,18870.92,
TX00115,2024-01-15,Lyon,location,Peugeot 208,740.71,22
TX00116,2023-12-04,Lyon,location,Renault Clio,1482.42,24
TX00117,2024-01-23,Marseille,vente,Mercedes C Class,86410.86,
TX00118,2024-03-18,Paris,location,Peugeot 208,738.97,30
TX00119,2023-01-25,Marseille,vente,Mercedes C Class,21144.26,
TX00120,2023-11-10,Marseille,vente,Audi A4,81803.59,
TX00121,2023-03-27,Paris,vente,BMW X3,21862.53,
TX00122,2023-12-11,Paris,vente,Peugeot 208,65651.14,
TX00123,2024-01-24,Marseille,location,Mercedes C Class,201.97,16
TX00124,2023-10-09,Marseille,location,Audi A4,370.83,14
TX00125,2023-06-15,Lyon,location,BMW X3,963.05,28
TX00126,2023-05-15,Marseille,location,BMW X3,828.07,46
TX00127,2023-08-24,Marseille,location,Peugeot 208,1355.75,41
TX00128,2023-07-14,Marseille,vente,Tesla Model 3,54970.48,
TX00129,2023-06-13,Lyon,vente,Tesla Model 3,88259.11,
TX00130,2024-04-22,Lyon,vente,BMW X3,52914.16,
TX00131,2023-06-20,Lyon,vente,Tesla Model 3,60843.56,
TX00132,2023-11-17,Paris,location,BMW X3,1431.56,32
TX00133,2024-03-26,Lyon,location,BMW X3,224.37,5
TX00134,2023-05-05,Paris,location,Audi A4,709.39,30
TX00135,2023-10-08,Lyon,location,Renault Clio,364.74,2
TX00136,2023-12-06,Lyon,vente,Renault Clio,15212.18,
TX00137,2023-01-15,Marseille,vente,Tesla Model 3,42786.45,
TX00138,2024-04-04,Marseille,vente,Renault Clio,43182.78,
TX00139,2024-02-20,Lyon,vente,Tesla Model 3,48618.68,
TX00140,2024-02-06,Lyon,location,Mercedes C Class,1000.67,21
TX00141,2023-04-27,Marseille,vente,Tesla Model 3,66229.2,
TX00142,2024-01-14,Paris,vente,BMW X3,64512.3,
TX00143,2023-02-10,Lyon,location,Tesla Model 3,924.64,33
TX00144,2023-10-24,Paris,location,Tesla Model 3,437.96,13
TX00145,2024-04-14,Lyon,vente,BMW X3,49366.27,
TX00146,2023-07-30,Paris,location,Peugeot 208,510.26,31
TX00147,2023-07-12,Lyon,location,Peugeot 208,1153.58,45
TX00148,2023-08-31,Marseille,location,Tesla Model 3,632.38,7
TX00149,2023-07-23,Marseille,vente,Mercedes C Class,32894.73,
TX00150,2023-12-03,Paris,vente,Tesla Model 3,84181.26,
TX00151,2023-03-19,Marseille,vente,Tesla Model 3,26357.13,
TX00152,2023-06-11,Marseille,location,BMW X3,341.77,27
TX00153,2023-03-21,Marseille,vente,Audi A4,42411.57,
TX00154,2024-02-19,Marseille,location,BMW X3,562.69,30
TX00155,2023-04-27,Marseille,vente,Audi A4,19285.93,
TX00156,2024-04-18,Lyon,vente,Renault Clio,62537.35,
TX00157,2023-11-26,Paris,vente,BMW X3,68016.18,
TX00158,2023-06-30,Marseille,location,Audi A4,500.08,46
TX00159,2024-04-23,Paris,vente,Renault Clio,52590.37,
TX00160,2024-03-12,Marseille,vente,Tesla Model 3,53230.46,
TX00161,2024-01-11,Paris,vente,Tesla Model 3,31634.16,
TX00162,2023-09-10,Paris,vente,Renault Clio,30197.41,
TX00163,2023-08-02,Marseille,location,Tesla Model 3,1211.8,39
TX00164,2023-06-05,Marseille,vente,Audi A4,38839.94,
TX00165,2024-03-12,Paris,location,Tesla Model 3,487.76,10
TX00166,2023-03-22,Marseille,vente,Audi A4,75155.13,
TX00167,2023-11-21,Lyon,location,Mercedes C Class,1437.47,10
TX00168,2023-12-01,Lyon,vente,BMW X3,80497.62,
TX00169,2024-02-09,Lyon,vente,Audi A4,25335.7,
TX00170,2023-05-26,Paris,vente,Renault Clio,59196.62,
TX00171,2023-10-04,Marseille,vente,Audi A4,64232.96,
TX00172,2023-07-15,Paris,vente,Audi A4,82253.93,
TX00173,2023-10-26,Marseille,vente,Renault Clio,81837.17,
TX00174,2023-04-10,Marseille,location,Renault Clio,640.15,31
TX00175,2023-05-20,Lyon,location,Tesla Model 3,755.46,41
TX00176,2023-03-12,Paris,location,Peugeot 208,1449.91,42
TX00177,2024-01-11,Paris,vente,Mercedes C Class,17257.84,
TX00178,2024-01-02,Marseille,location,BMW X3,830.51,19
TX00179,2023-01-07,Paris,location,Audi A4,1306.94,6
TX00180,2023-12-12,Marseille,vente,Peugeot 208,43491.79,
TX00181,2023-06-30,Lyon,location,Audi A4,881.55,14
TX00182,2023-01-01,Marseille,vente,Peugeot 208,19185.7,
TX00183,2024-04-16,Lyon,location,Audi A4,1295.12,13
TX00184,2023-03-27,Lyon,location,BMW X3,1103.22,43
TX00185,2023-04-29,Paris,vente,Renault Clio,36527.87,
TX00186,2023-06-10,Marseille,location,Renault Clio,860.89,43
TX00187,2023-03-24,Paris,vente,Audi A4,43902.75,
TX00188,2023-03-20,Marseille,location,Renault Clio,938.08,4
TX00189,2023-08-04,Lyon,location,BMW X3,1143.18,44
TX00190,2024-01-07,Lyon,vente,Tesla Model 3,30479.06,
TX00191,2023-07-19,Paris,location,Peugeot 208,615.92,18
TX00192,2024-02-18,Marseille,vente,Peugeot 208,64711.11,
TX00193,2023-04-21,Marseille,vente,Peugeot 208,72281.14,
TX00194,2023-01-05,Lyon,location,Audi A4,1472.93,21
TX00195,2023-12-05,Lyon,vente,Renault Clio,59471.65,
TX00196,2023-05-07,Lyon,vente,BMW X3,56255.56,
TX00197,2024-04-11,Paris,vente,BMW X3,37279.94,
TX00198,2023-04-21,Marseille,location,Renault Clio,1006.85,2
TX00199,2023-04-17,Marseille,location,Peugeot 208,397.74,40
TX00200,2023-03-09,Marseille,vente,Renault Clio,28982.97,
TX00201,2023-05-25,Lyon,vente,Renault Clio,49939.74,
TX00202,2024-04-21,Paris,vente,Tesla Model 3,66059.31,
TX00203,2023-10-01,Marseille,vente,BMW X3,76277.04,
TX00204,2023-03-24,Lyon,location,Peugeot 208,683.53,14
TX00205,2024-02-16,Paris,location,Renault Clio,791.12,20
TX00206,2023-03-22,Lyon,location,Peugeot 208,288.38,18
TX00207,2023-01-24,Marseille,location,Renault Clio,581.79,44
TX00208,2023-02-18,Marseille,location,Peugeot 208,345.3,37
TX00209,2023-05-18,Paris,vente,BMW X3,71892.52,
TX00210,2024-02-21,Paris,location,Renault Clio,938.53,46
TX00211,2023-03-11,Lyon,location,BMW X3,1392.52,20
TX00212,2023-03-06,Paris,vente,Audi A4,78730.14,
TX00213,2023-06-19,Paris,vente,Renault Clio,79769.53,
TX00214,2023-05-04,Lyon,vente,BMW X3,15508.59,
TX00215,2023-01-17,Lyon,location,BMW X3,879.45,39
TX00216,2023-11-05,Paris,location,Mercedes C Class,1432.49,45
TX00217,2023-09-18,Paris,location,Renault Clio,439.71,36
TX00218,2023-05-21,Paris,location,BMW X3,1119.7,25
TX00219,2024-02-10,Marseille,vente,Audi A4,38390.99,
TX00220,2023-09-15,Lyon,vente,Renault Clio,63807.82,
TX00221,2023-11-27,Paris,location,Mercedes C Class,511.26,47
TX00222,2023-02-24,Lyon,location,Renault Clio,447.9,11
TX00223,2024-02-02,Marseille,vente,Renault Clio,35927.86,
TX00224,2024-02-03,Lyon,location,Audi A4,701.08,30
TX00225,2023-05-03,Marseille,vente,Peugeot 208,27416.72,
TX00226,2023-08-11,Lyon,location,Peugeot 208,626.24,48
TX00227,2024-03-11,Paris,vente,Renault Clio,62046.1,
TX00228,2023-11-06,Paris,location,Renault Clio,309.7,14
TX00229,2023-11-01,Marseille,location,Peugeot 208,1479.09,6
TX00230,2023-11-23,Marseille,location,Audi A4,981.99,14
TX00231,2024-04-25,Marseille,location,Renault Clio,883.34,15
TX00232,2024-04-02,Lyon,vente,Mercedes C Class,20789.97,
TX00233,2023-08-01,Marseille,location,Audi A4,1248.09,47
TX00234,2023-02-19,Paris,vente,Audi A4,57856.57,
TX00235,2023-10-31,Paris,location,Mercedes C Class,1253.76,48
TX00236,2024-01-02,Lyon,location,Mercedes C Class,893.96,48
TX00237,2023-11-24,Paris,vente,BMW X3,65973.78,
TX00238,2024-04-23,Marseille,location,Peugeot 208,422.12,10
TX00239,2023-02-23,Marseille,vente,Renault Clio,20267.4,
TX00240,2023-07-01,Lyon,location,Peugeot 208,1415.49,1
TX00241,2023-07-04,Lyon,vente,BMW X3,15605.11,
TX00242,2023-07-12,Marseille,vente,Audi A4,16802.64,
TX00243,2023-10-05,Marseille,vente,Audi A4,41071.13,
TX00244,2024-04-03,Lyon,location,Renault Clio,1424.24,2
TX00245,2023-01-11,Paris,vente,BMW X3,82424.67,
TX00246,2024-03-26,Marseille,vente,Peugeot 208,39887.0,
TX00247,2023-12-02,Paris,vente,Tesla Model 3,29122.94,
TX00248,2023-05-09,Lyon,location,Peugeot 208,847.76,4
TX00249,2024-02-29,Paris,location,Renault Clio,382.39,47
TX00250,2023-01-03,Marseille,location,Renault Clio,245.8,6
TX00251,2023-01-14,Lyon,location,Mercedes C Class,577.61,45
TX00252,2023-08-21,Marseille,location,BMW X3,226.57,36
TX00253,2023-12-15,Paris,vente,Peugeot 208,41692.14,
TX00254,2023-04-04,Paris,location,Renault Clio,277.68,10
TX00255,2023-05-19,Lyon,location,Tesla Model 3,335.66,17
TX00256,2023-09-23,Marseille,vente,Tesla Model 3,53019.18,
TX00257,2023-01-14,Lyon,vente,Mercedes C Class,78203.07,
TX00258,2023-07-18,Lyon,vente,Tesla Model 3,79341.05,
TX00259,2023-05-02,Marseille,vente,Renault Clio,86860.68,
TX00260,2024-02-24,Paris,location,Mercedes C Class,1269.73,19
TX00261,2023-12-29,Paris,vente,Peugeot 208,65548.7,
TX00262,2023-06-21,Paris,location,Mercedes C Class,417.72,10
TX00263,2023-11-02,Marseille,location,Audi A4,1383.55,35
TX00264,2023-06-12,Paris,location,Audi A4,990.17,39
TX00265,2024-04-28,Marseille,location,Renault Clio,1150.17,36
TX00266,2024-01-21,Paris,vente,BMW X3,53599.99,
TX00267,2023-01-25,Lyon,location,BMW X3,1443.35,8
TX00268,2023-11-01,Lyon,location,Tesla Model 3,605.44,18
TX00269,2023-07-12,Lyon,vente,Peugeot 208,52441.82,
TX00270,2024-03-24,Paris,location,Tesla Model 3,565.25,16
TX00271,2023-07-28,Lyon,vente,Tesla Model 3,73561.94,
TX00272,2023-12-01,Paris,vente,Audi A4,85320.07,
TX00273,2023-12-19,Lyon,location,Peugeot 208,788.52,22
TX00274,2023-05-26,Paris,vente,Peugeot 208,69424.97,
TX00275,2023-04-21,Lyon,location,Peugeot 208,1247.43,34
TX00276,2023-11-15,Marseille,vente,Renault Clio,36441.22,
TX00277,2023-02-26,Marseille,location,Renault Clio,1322.68,3
TX00278,2024-01-01,Paris,vente,Peugeot 208,75782.95,
TX00279,2023-10-09,Marseille,location,BMW X3,1121.81,4
TX00280,2023-06-07,Lyon,vente,BMW X3,71609.03,
TX00281,2023-12-30,Lyon,location,Peugeot 208,347.94,33
TX00282,2023-12-12,Lyon,vente,Mercedes C Class,15733.7,
TX00283,2023-08-02,Lyon,vente,Peugeot 208,35057.32,
TX00284,2024-01-30,Lyon,location,Mercedes C Class,598.73,12
TX00285,2023-08-01,Lyon,location,Mercedes C Class,1173.59,48
TX00286,2023-11-25,Paris,vente,Peugeot 208,87765.29,
TX00287,2024-02-11,Marseille,location,Peugeot 208,1257.69,44
TX00288,2023-02-08,Marseille,vente,Renault Clio,47991.69,
TX00289,2023-08-06,Marseille,location,Audi A4,276.36,16
TX00290,2023-06-15,Paris,vente,Peugeot 208,42603.62,
TX00291,2023-07-20,Marseille,location,Tesla Model 3,1309.37,23
TX00292,2023-02-17,Paris,location,Renault Clio,427.83,9
TX00293,2024-03-26,Marseille,vente,BMW X3,86208.45,
TX00294,2023-04-30,Paris,vente,Mercedes C Class,39792.4,
TX00295,2023-03-08,Marseille,location,Renault Clio,816.79,30
TX00296,2024-01-26,Paris,vente,Peugeot 208,75747.16,
TX00297,2024-03-01,Lyon,vente,Audi A4,45827.88,
TX00298,2023-06-23,Lyon,location,Tesla Model 3,1211.7,7
TX00299,2023-09-11,Lyon,location,BMW X3,599.31,3
TX00300,2024-01-16,Lyon,location,Audi A4,1015.97,8
TX00301,2024-02-22,Marseille,location,Audi A4,1297.29,40
TX00302,2024-03-03,Lyon,location,BMW X3,654.0,38
TX00303,2023-02-07,Paris,location,Renault Clio,1190.88,24
TX00304,2023-01-15,Lyon,vente,BMW X3,64257.78,
TX00305,2023-11-28,Lyon,vente,Audi A4,68305.53,
TX00306,2023-11-23,Marseille,location,Tesla Model 3,955.44,6
TX00307,2023-02-23,Paris,vente,Renault Clio,56852.08,
TX00308,2023-03-26,Lyon,vente,Peugeot 208,17993.4,
TX00309,2023-04-15,Lyon,vente,Renault Clio,60924.72,
TX00310,2023-04-05,Lyon,vente,Mercedes C Class,70533.33,
TX00311,2023-04-27,Paris,location,Tesla Model 3,411.74,12
TX00312,2023-06-21,Lyon,location,Peugeot 208,769.1,26
TX00313,2024-04-17,Paris,vente,Peugeot 208,23486.54,
TX00314,2024-02-10,Marseille,location,Renault Clio,1241.61,11
TX00315,2024-02-11,Paris,location,BMW X3,1011.03,30
TX00316,2024-01-23,Paris,vente,BMW X3,37149.85,
TX00317,2023-02-09,Paris,vente,Audi A4,28521.08,
TX00318,2024-03-30,Marseille,vente,Renault Clio,34685.21,
TX00319,2023-06-20,Paris,location,Renault Clio,1407.45,9
TX00320,2023-05-21,Lyon,vente,Tesla Model 3,16302.05,
TX00321,2023-10-18,Lyon,location,Audi A4,218.83,11
TX00322,2024-03-27,Lyon,vente,Audi A4,61397.39,
TX00323,2023-09-26,Lyon,location,BMW X3,911.86,10
TX00324,2023-03-15,Paris,location,BMW X3,1456.01,3
TX00325,2023-02-05,Marseille,location,BMW X3,1157.98,26
TX00326,2023-11-13,Paris,vente,BMW X3,40001.08,
TX00327,2023-03-26,Paris,location,Tesla Model 3,1003.68,29
TX00328,2023-07-31,Paris,vente,Mercedes C Class,37041.54,
TX00329,2023-02-08,Marseille,location,Audi A4,978.21,22
TX00330,2024-02-04,Marseille,location,Audi A4,1209.85,8
TX00331,2024-01-26,Lyon,location,Audi A4,945.63,31
TX00332,2023-09-05,Paris,location,Mercedes C Class,850.17,10
TX00333,2023-02-23,Lyon,location,BMW X3,1261.98,14
TX00334,2023-08-30,Lyon,location,Peugeot 208,1449.99,35
TX00335,2023-06-03,Marseille,vente,Tesla Model 3,89867.39,
TX00336,2023-12-12,Lyon,location,Mercedes C Class,692.04,15
TX00337,2023-02-05,Marseille,location,Mercedes C Class,1206.55,9
TX00338,2024-04-26,Lyon,vente,Mercedes C Class,44520.87,
TX00339,2023-11-02,Paris,vente,Tesla Model 3,81960.05,
TX00340,2023-06-16,Marseille,location,Peugeot 208,1186.71,29
TX00341,2023-06-23,Paris,location,Renault Clio,1085.45,12
TX00342,2023-01-30,Lyon,vente,Tesla Model 3,86659.26,
TX00343,2024-04-25,Paris,vente,Mercedes C Class,37084.45,
TX00344,2024-04-07,Marseille,location,BMW X3,652.1,31
TX00345,2023-05-02,Paris,location,Tesla Model 3,243.93,32
TX00346,2023-01-07,Marseille,vente,Mercedes C Class,62403.96,
TX00347,2023-12-30,Lyon,location,Tesla Model 3,905.57,32
TX00348,2024-02-23,Lyon,location,Peugeot 208,1193.83,46
TX00349,2024-04-21,Marseille,vente,BMW X3,42389.88,
TX00350,2023-11-15,Marseille,vente,Renault Clio,44640.47,
TX00351,2024-02-13,Lyon,vente,Tesla Model 3,74714.31,
TX00352,2023-04-16,Marseille,location,Tesla Model 3,1487.2,8
TX00353,2023-05-13,Paris,vente,Renault Clio,38988.63,
TX00354,2023-04-13,Paris,location,Tesla Model 3,543.22,6
TX00355,2024-03-30,Marseille,location,Mercedes C Class,1392.31,18
TX00356,2024-02-22,Lyon,vente,Tesla Model 3,64565.71,
TX00357,2023-07-31,Paris,location,Tesla Model 3,401.77,22
TX00358,2024-01-27,Paris,location,Audi A4,706.13,23
TX00359,2023-11-14,Marseille,location,BMW X3,830.63,46
TX00360,2023-03-08,Marseille,vente,Mercedes C Class,59273.8,
TX00361,2023-09-06,Lyon,vente,Renault Clio,86609.28,
TX00362,2024-01-18,Marseille,location,Mercedes C Class,1109.69,32
TX00363,2024-02-26,Paris,vente,BMW X3,72826.15,
TX00364,2023-12-27,Lyon,location,Mercedes C Class,645.42,44
TX00365,2024-01-11,Lyon,vente,Tesla Model 3,25341.48,
TX00366,2023-03-29,Paris,location,Mercedes C Class,1302.3,42
TX00367,2023-03-04,Marseille,location,Renault Clio,1013.78,47
TX00368,2023-05-03,Paris,location,Mercedes C Class,991.72,18
TX00369,2023-09-30,Paris,vente,Audi A4,73279.23,
TX00370,2023-06-21,Paris,vente,Mercedes C Class,86705.61,
TX00371,2023-11-17,Marseille,vente,BMW X3,21238.01,
TX00372,2023-10-05,Lyon,location,Renault Clio,1052.85,2
TX00373,2023-01-31,Paris,location,Mercedes C Class,1199.39,20
TX00374,2023-01-17,Lyon,location,BMW X3,1359.77,33
TX00375,2023-05-19,Marseille,location,Tesla Model 3,395.11,21
TX00376,2024-01-20,Marseille,location,Mercedes C Class,699.6,27
TX00377,2023-04-21,Paris,location,Peugeot 208,1070.76,19
TX00378,2024-01-27,Lyon,location,Peugeot 208,1367.74,1
TX00379,2023-01-06,Lyon,vente,BMW X3,33393.75,
TX00380,2023-10-30,Marseille,vente,Mercedes C Class,59919.93,
TX00381,2023-02-12,Paris,vente,Peugeot 208,85710.21,
TX00382,2023-05-01,Marseille,location,Audi A4,542.7,37
TX00383,2023-02-09,Marseille,location,Peugeot 208,251.46,1
TX00384,2023-12-25,Marseille,vente,Renault Clio,38298.24,
TX00385,2023-11-09,Paris,location,Audi A4,607.82,6
TX00386,2023-03-22,Paris,location,Tesla Model 3,1328.45,7
TX00387,2024-03-15,Lyon,vente,Audi A4,23592.96,
TX00388,2023-04-22,Lyon,location,Peugeot 208,806.11,33
TX00389,2023-09-14,Lyon,location,Audi A4,360.47,22
TX00390,2023-07-23,Lyon,vente,Audi A4,32673.75,
TX00391,2024-04-08,Marseille,vente,Peugeot 208,40604.89,
TX00392,2023-03-10,Paris,location,Renault Clio,1124.83,47
TX00393,2023-06-30,Lyon,location,Tesla Model 3,1336.82,1
TX00394,2023-09-29,Paris,location,BMW X3,1483.06,13
TX00395,2023-12-15,Marseille,location,Audi A4,415.57,24
TX00396,2023-02-08,Lyon,vente,Renault Clio,67944.44,
TX00397,2023-03-17,Marseille,vente,Audi A4,37483.61,
TX00398,2023-06-27,Marseille,vente,Audi A4,32885.56,
TX00399,2023-10-28,Paris,location,Mercedes C Class,976.36,14
TX00400,2023-11-26,Marseille,location,Mercedes C Class,537.26,32
TX00401,2023-12-02,Lyon,vente,Mercedes C Class,71948.88,
TX00402,2024-03-06,Lyon,location,Mercedes C Class,1020.27,2
TX00403,2024-04-15,Lyon,vente,Audi A4,36645.12,
TX00404,2024-03-16,Lyon,location,Peugeot 208,688.2,41
TX00405,2023-09-25,Paris,vente,BMW X3,89153.57,
TX00406,2023-12-20,Lyon,vente,BMW X3,33155.82,
TX00407,2024-04-11,Lyon,vente,Peugeot 208,64171.6,
TX00408,2023-05-25,Lyon,vente,Renault Clio,66167.11,
TX00409,2024-03-04,Lyon,vente,Mercedes C Class,72963.87,
TX00410,2023-03-02,Marseille,vente,Audi A4,24332.56,
TX00411,2023-10-30,Marseille,vente,Audi A4,48109.47,
TX00412,2023-04-08,Lyon,location,Audi A4,1043.32,26
TX00413,2023-06-09,Paris,location,Audi A4,389.9,31
TX00414,2024-04-08,Lyon,vente,Mercedes C Class,22220.94,
TX00415,2023-01-07,Marseille,location,Renault Clio,557.68,34
TX00416,2023-07-15,Marseille,location,BMW X3,1209.38,8
TX00417,2023-10-16,Lyon,location,Tesla Model 3,1284.94,27
TX00418,2024-01-23,Lyon,location,Mercedes C Class,887.79,15
TX00419,2023-11-04,Marseille,location,Renault Clio,419.43,34
TX00420,2023-04-15,Paris,location,Tesla Model 3,722.11,48
TX00421,2024-03-05,Paris,vente,Mercedes C Class,33807.21,
TX00422,2023-01-29,Marseille,location,Renault Clio,675.5,18
TX00423,2023-11-14,Marseille,location,Tesla Model 3,1059.84,40
TX00424,2023-05-12,Lyon,location,Mercedes C Class,768.32,17
